RML id,title,purpose,part of spec,error expected?,base mapping,input base,change mapping,input change,output base,output change,OK?,Comments,,
RMLLDES0001a,Latest State Explicit No Change,Test if no output is produced when the data remains unchanged,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-latest_state.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,"EXPLICIT ADVERTISEMENT: id, unique property like timestamp etc.
IMPLICIT ADVERTISEMENT: member properties (combination of or specific values to consider a change)",,
RMLLDES0001b,Latest State Explicit Addition,Test if an addition to the data produces an added entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-latest_state.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,REMARK
RMLLDES0001c,Latest State Explicit Modification,Test if a modification to the data produces a modified entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-latest_state.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,"Can we actually have implicit advertisement when we have IDs? They are unique and provided when something is changed --> advertisement explicitely?

EDIT: this falls under vs . We can merge this!!!"
RMLLDES0001d,Latest State Explicit Deletion,Test if a deletion in the data produces a deleted entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-latest_state.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0001e,Latest State Implicit No Change,Test if no output is produced when the data remains unchanged,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-latest_state.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0001f,Latest State Implicit Addition,Test if an addition to the data produces an added entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-latest_state.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0001g,Latest State Implicit Modification,Test if a modification to the data produces a modified entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-latest_state.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0001h,Latest State Implicit Deletion,Test if a deletion in the data produces a deleted entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-latest_state.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0002a,Latest Changes Explicit No Change,Test if no output is produced when the data remains unchanged,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-latest_changes.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,"Implicit possible IF they expose all kinds of changes in one dump without specifying the type of change. Although, if they don't specify the type of change, detecting if an entity is deleted is impossible because you can never know without specifying the type, if an entity is deleted. Modifications and additions are still doable since you have new values while in a deleted entity you don't have anything anymore.",,
RMLLDES0002b,Latest Changes Explicit Addition,Test if an addition to the data produces an added entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-latest_changes.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0002c,Latest Changes Explicit Modification,Test if a modification to the data produces a modified entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-latest_changes.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0002d,Latest Changes Explicit Deletion,Test if a deletion in the data produces a deleted entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-latest_changes.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0002e,Latest Changes Implicit No Change,Test if no output is produced when the data remains unchanged,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-latest_changes.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0002f,Latest Changes Implicit Addition,Test if an addition to the data produces an added entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-latest_changes.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0002g,Latest Changes Implicit Modification,Test if a modification to the data produces a modified entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-latest_changes.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0003a,Full History Explicit No Change,Test if no output is produced when the data remains unchanged,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-full_history.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,"While deletions are possible implicitely, they must be advertised in some way otherwise we can never be certain that they are deleted. If they are just not provided anymore by the datasource at some point in time, we should not publish deletions. If they are advertised properly we can.",,
RMLLDES0003b,Full History Explicit Addition,Test if an addition to the data produces an added entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-full_history.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0003c,Full History Explicit Modification,Test if a modification to the data produces a modified entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-full_history.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0003d,Full History Explicit Deletion,Test if a deletion in the data produces a deleted entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-explicit-full_history.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0003e,Full History Implicit No Change,Test if no output is produced when the data remains unchanged,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-full_history.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0003f,Full History Implicit Addition,Test if an addition to the data produces an added entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-full_history.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
RMLLDES0003g,Full History Implicit Modification,Test if a modification to the data produces a modified entity,https://w3id.org/rml/ldes/,FALSE,base.rml.ttl,base-implicit-full_history.json,change.rml.ttl,change.json,output-base.nq,output-change.nq,TRUE,,,
